"videoId","title","filename","publishedAt","bang_count"
"obVge1Y4lO4","Hardmode Sanctum of Rebirth on a Hardcore Ironman! The RS Guy Vods","Hardmode Sanctum of Rebirth on a Hardcore Ironman! The RS Guy Vods.txt","2024-08-03T20:22:39Z",16
"Gv4WoI17GPU","Nakatra with No armor / No food / T50 weapons! | The RS Guy Vods","Nakatra with No armor  No food  T50 weapons!  The RS Guy Vods.txt","2024-08-03T19:31:33Z",4
"CAKQLkWcs6A","Hardcore Ironman RISKS IT ALL at Hardmode Sanctum! This could be the end! The RS Guy Vods","Hardcore Ironman RISKS IT ALL at Hardmode Sanctum! This could be the end! The RS Guy Vods.txt","2024-07-29T01:10:39Z",9
"a1_q1XRVHp8","Making 5 Billion Coins in the Sanctum of Rebirth! The RS Guy VODS","Making 5 Billion Coins in the Sanctum of Rebirth! The RS Guy VODS.txt","2024-07-27T09:43:39Z",51
"G9Nf8pPd8bQ","SANCTUM OF REBIRTH IS HERE! The RS Guy Vods  (Part 1/2)","SANCTUM OF REBIRTH IS HERE! The RS Guy Vods  (Part 12).txt","2024-07-24T04:22:29Z",4
"ILFFbyG0DT4","Getting ready for the Sanctum of Rebirth! Making Presets, Perking, and Hammer Grind!","Getting ready for the Sanctum of Rebirth! Making Presets, Perking, and Hammer Grind!.txt","2024-07-21T06:42:58Z",41
"YqsuQQ4rhnE","Fight Kiln at Level 63 Combat COMPLETE! + RS Guy Bakes a RuneScape Cake!","Fight Kiln at Level 63 Combat COMPLETE! + RS Guy Bakes a RuneScape Cake!.txt","2024-07-15T08:38:55Z",4
"VRPvF3tUHxs","Getting ready for the 58 combat Fight Kiln! The RS Guy Vods","Getting ready for the 58 combat Fight Kiln! The RS Guy Vods.txt","2024-07-14T05:11:05Z",6
"NWaAqpoOnGQ","10 HP 1 Defence Fire cape! (Road to Zuk) (The RS Guy VODS)","10 HP 1 Defence Fire cape! (Road to Zuk) (The RS Guy VODS).txt","2024-07-12T21:17:22Z",11
"2-7MP0ATiF4","Fight Caves with 10HP/1Def! Day 2 of Road to Lowest Level Zuk Cape!","Fight Caves with 10HP1Def! Day 2 of Road to Lowest Level Zuk Cape!.txt","2024-07-09T06:40:39Z",14
"825I3xMRqw8","Road to the Lowest Level Zuk Cape in RuneScape History! Part 1","Road to the Lowest Level Zuk Cape in RuneScape History! Part 1.txt","2024-07-08T07:31:35Z",13
"74s_FHJdm1I","1000 Angel of Death KC on my Hardcore Ironman | The RS Guy Vods","1000 Angel of Death KC on my Hardcore Ironman  The RS Guy Vods.txt","2024-07-04T01:15:44Z",25
"2Lnk6QUY9e4","I got Married!! We are BACK to AoD on the Hardcore Ironman | rs guy vods","I got Married!! We are BACK to AoD on the Hardcore Ironman  rs guy vods.txt","2024-07-02T03:52:52Z",9
"vQ1KLtSdjYk","Hardcore Ironman Risks it all at AoD for a t99 Prayer!! | The RS Guy VODS","Hardcore Ironman Risks it all at AoD for a t99 Prayer!!  The RS Guy VODS.txt","2024-06-25T22:26:56Z",6
"-IJ1S-5oRF4","Hardcore Ironman Vs Solo ED!! Let's finish this!","Hardcore Ironman Vs Solo ED!! Let's finish this!.txt","2024-06-19T03:15:12Z",22
"cvkdrrlKnhw","Hardcore ironman: 6x Praesulic Essence off FULL Elite Dracolich! | TheRSGuy VODS","Hardcore ironman 6x Praesulic Essence off FULL Elite Dracolich!  TheRSGuy VODS.txt","2024-06-19T02:37:17Z",5
"x1yeDz-Ncew","Hardcore Ironman RISKS IT ALL AT ED1!","Hardcore Ironman RISKS IT ALL AT ED1!.txt","2024-06-16T08:55:01Z",36
"COSKEZJt3sE","Hardcore Ironman RISKS IT ALL AT ED1!","Hardcore Ironman RISKS IT ALL AT ED1!.txt","2024-06-15T05:16:38Z",32
"v1ox6RkoqNc","Hardcore Ironman RISKS IT ALL AT Hardmode Vorkath! The Rs Guy Vods","Hardcore Ironman RISKS IT ALL AT Hardmode Vorkath! The Rs Guy Vods.txt","2024-06-11T04:07:12Z",59
"VEPYPQNbit8","Hardcore Ironman RISKS IT ALL AT Hardmode Vorkath and ED1! Let's goooo  | The RS Guy VODS","Hardcore Ironman RISKS IT ALL AT Hardmode Vorkath and ED1! Let's goooo   The RS Guy VODS.txt","2024-06-09T10:48:59Z",27
"Nz5jSdlCFyM","Hardcore Ironman RISKS IT ALL AT Hardmode Vorkath! Let's goooo | The RS Guy VODS","Hardcore Ironman RISKS IT ALL AT Hardmode Vorkath! Let's goooo  The RS Guy VODS.txt","2024-06-07T10:08:25Z",15
"wlrVMPSv-KI","After 7 STRAIGHT weeks of Zamorak, it's over.","After 7 STRAIGHT weeks of Zamorak, it's over..txt","2024-06-05T14:27:47Z",9
"pYv_BC1OY7c","It's HCIM Zamorak time! Let's finish this log! (librarian POV)| The RS Guy VODS","It's HCIM Zamorak time! Let's finish this log! (librarian POV) The RS Guy VODS.txt","2024-06-04T08:59:34Z",24
"bQB-JD5IN00","It's HCIM Zamorak time! Let's finish this log! (librarian POV)| The RS Guy VODS","It's HCIM Zamorak time! Let's finish this log! (librarian POV) The RS Guy VODS.txt","2024-06-04T08:47:29Z",9
"GbYuH33Xfw0","700+ Zamorak Loots on my Hardcore Ironman, 0 Bows| The RS Guy Vods","700+ Zamorak Loots on my Hardcore Ironman, 0 Bows The RS Guy Vods.txt","2024-06-03T06:33:14Z",15
"aXLnrXwtRBo","T95 Magic Dual Wield BETA is here!! Let's test out all 3 options! | The RS Guy VODS","T95 Magic Dual Wield BETA is here!! Let's test out all 3 options!  The RS Guy VODS.txt","2024-05-31T01:07:00Z",10
"-C5s4Nh__C0","It's Zamorak Time! (HCIM) 7 Chaos Roars, 9 Lost Knowledge books, 6 Vestments, and NO BOW :( | The RS","It's Zamorak Time! (HCIM) 7 Chaos Roars, 9 Lost Knowledge books, 6 Vestments, and NO BOW (  The RS.txt","2024-05-30T02:29:13Z",12
